inning,inning_topbot,outs_when_up,1b,2b,3b,current_re24,situation_occurrences,eligible_games,higher_re_occurs_count,higher_re_occurs_pct
6,Top,1,True,False,True,1.1652308995904532,315,7286,3959,0.5433708482020313
6,Top,1,False,True,True,1.3486698911729142,204,7286,3704,0.5083722206972275
6,Top,1,True,True,True,1.5565524426950683,214,7287,1577,0.2164127898998216
6,Top,2,False,False,False,0.1001532004737628,4217,7286,7286,1.0
6,Top,2,True,False,False,0.2213896929490464,2162,7286,7286,1.0
6,Top,2,False,True,False,0.3072789447972643,864,7286,7286,1.0
6,Top,2,False,False,True,0.3336989761999734,388,7286,7286,1.0
6,Top,2,True,True,False,0.4312991506763133,921,7286,7286,1.0
6,Top,2,True,False,True,0.4695498381553041,458,7286,7286,1.0
6,Top,2,False,True,True,0.5347255949490044,255,7286,6956,0.9547076585231952
6,Top,2,True,True,True,0.7707733891359316,313,7287,6833,0.9376972691093729
6,Bot,0,False,False,False,0.49432005064898776,7286,7286,7197,0.9877847927532254
6,Bot,0,True,False,False,0.8878149539389397,1861,7284,5646,0.7751235584843492
6,Bot,0,False,True,False,1.109643815436418,385,7284,4002,0.5494233937397035
6,Bot,0,False,False,True,1.3858590733590734,59,7284,3160,0.43382756727073035
6,Bot,0,True,True,False,1.47952434803468,465,7284,2259,0.31013179571663924
6,Bot,0,True,False,True,1.8029265255292648,136,7284,894,0.12273476112026359
6,Bot,0,False,True,True,1.918237170194259,97,7284,562,0.0771554091158704
6,Bot,0,True,True,True,2.268160644592723,105,7284,0,0.0
6,Bot,1,False,False,False,0.2639268201849667,5245,7286,7285,0.9998627504803733
6,Bot,1,True,False,False,0.5240708686902802,2216,7285,6807,0.9343857240905972
6,Bot,1,False,True,False,0.6679592825981581,701,7284,6611,0.907605711147721
6,Bot,1,False,False,True,0.9123045547246772,228,7284,5323,0.7307797913234486
6,Bot,1,True,True,False,0.9302515931635259,748,7284,4591,0.6302855573860516
6,Bot,1,True,False,True,1.1652308995904532,335,7284,3520,0.48325096101043385
6,Bot,1,False,True,True,1.3486698911729142,212,7284,3270,0.4489291598023064
6,Bot,1,True,True,True,1.5565524426950683,222,7284,1337,0.18355299286106536
6,Bot,2,False,False,False,0.1001532004737628,4156,7285,7284,0.9998627316403569
6,Bot,2,True,False,False,0.2213896929490464,2237,7285,7284,0.9998627316403569
6,Bot,2,False,True,False,0.3072789447972643,864,7284,7284,1.0
6,Bot,2,False,False,True,0.3336989761999734,406,7284,7284,1.0
6,Bot,2,True,True,False,0.4312991506763133,897,7284,7284,1.0
6,Bot,2,True,False,True,0.4695498381553041,462,7284,7284,1.0
