1b,2b,3b,balls,strikes,outs_when_up,runs_after_count
True,True,True,2,0,2,1.0696517412935322
True,True,True,2,1,0,2.3786666666666667
True,True,True,2,1,1,1.6509661835748792
True,True,True,2,1,2,0.9038128249566725
True,True,True,2,2,0,2.0840336134453783
True,True,True,2,2,1,1.5276532137518684
True,True,True,2,2,2,0.745385450597177
True,True,True,3,0,0,2.52
True,True,True,3,0,1,2.101449275362319
True,True,True,3,0,2,1.3552123552123552
True,True,True,3,1,0,2.6241610738255035
True,True,True,3,1,1,1.9323308270676691
True,True,True,3,1,2,1.1411042944785277
True,True,True,3,2,0,2.497093023255814
True,True,True,3,2,1,1.8316831683168318
True,True,True,3,2,2,0.9472743521000894
